Series ID,STATE,CATEGORY,TYPE,2011,2012,2013,2014,2015,,,,,,
CSU00X00000033000,US,ALL,LTIFR,116.4,111.8,109.4,107.1,104.0,,,,,,
CSU00X00000033001,ALABAMA,ALL,LTIFR,93.7,85.6,83.9,81.0,82.7,,,,,,
CSU00X00000033002,ALASKA,ALL,LTIFR,178.0,168.9,153.1,159.4,154.1,,,,,,
CSU00X00000033004,ARIZONA,ALL,LTIFR,89.4,92.9,93.5,82.9,92.8,,,,,,
CSU00X00000033005,ARKANSAS,ALL,LTIFR,96.3,88.5,82.8,68.7,74.9,,,,,,
CSU00X00000033006,CALIFORNIA,ALL,LTIFR,121.7,123.6,124.0,119.2,115.4,,,,,,
CSU00X00000033009,CONNECTICUT,ALL,LTIFR,163.4,158.6,146.7,141.4,137.2,,,,,,
CSU00X00000033010,DELAWARE,ALL,LTIFR,113.2,103.6,109.4,99.0,101.7,,,,,,
CSU00X00000033011,DISTRICT OF COLUMBIA,ALL,LTIFR,90.3,88.4,75.8,72.5,65.4,,,,,,
CSU00X00000033013,GEORGIA,ALL,LTIFR,94.3,76.3,75.3,82.2,78.8,,,,,,
CSU00X00000033015,HAWAII,ALL,LTIFR,201.7,207.2,208.1,204.0,186.0,,,,,,
CSU00X00000033017,ILLINOIS,ALL,LTIFR,113.0,107.3,109.2,100.3,103.1,,,,,,
CSU00X00000033018,INDIANA,ALL,LTIFR,92.6,88.8,82.2,84.1,88.9,,,,,,
CSU00X00000033019,IOWA,ALL,LTIFR,130.4,114.3,114.8,100.0,99.6,,,,,,
CSU00X00000033020,KANSAS,ALL,LTIFR,97.5,90.4,83.3,91.9,76.7,,,,,,
CSU00X00000033021,KENTUCKY,ALL,LTIFR,132.9,118.3,118.3,109.0,109.3,,,,,,
CSU00X00000033022,LOUISIANA,ALL,LTIFR,90.0,87.7,90.6,69.5,72.0,,,,,,
CSU00X00000033023,MAINE,ALL,LTIFR,162.4,141.3,151.8,138.7,136.7,,,,,,
CSU00X00000033024,MARYLAND,ALL,LTIFR,126.7,128.1,128.0,137.5,126.8,,,,,,
CSU00X00000033025,MASSACHUSETTS,ALL,LTIFR,145.5,145.5,131.3,159.5,130.5,,,,,,
CSU00X00000033026,MICHIGAN,ALL,LTIFR,102.4,104.8,99.5,104.3,88.3,,,,,,
CSU00X00000033027,MINNESOTA,ALL,LTIFR,106.8,105.3,104.4,101.6,95.8,,,,,,
CSU00X00000033029,MISSOURI,ALL,LTIFR,81.8,80.1,80.4,83.9,69.5,,,,,,
CSU00X00000033030,MONTANA,ALL,LTIFR,159.0,152.1,142.0,136.3,139.5,,,,,,
CSU00X00000033031,NEBRASKA,ALL,LTIFR,111.9,110.1,105.0,96.2,96.4,,,,,,
CSU00X00000033032,NEVADA,ALL,LTIFR,111.0,116.8,106.1,117.9,102.0,,,,,,
CSU00X00000033034,NEW JERSEY,ALL,LTIFR,135.5,142.1,131.8,138.1,123.3,,,,,,
CSU00X00000033035,NEW MEXICO,ALL,LTIFR,129.7,115.7,94.3,100.6,100.5,,,,,,
CSU00X00000033036,NEW YORK,ALL,LTIFR,176.1,163.5,164.5,158.3,161.5,,,,,,
CSU00X00000033037,NORTH CAROLINA,ALL,LTIFR,86.3,82.9,78.3,75.6,76.1,,,,,,
CSU00X00000033039,OHIO,ALL,LTIFR,,91.8,83.9,89.2,87.8,,,,,,
CSU00X00000033040,OKLAHOMA,ALL,LTIFR,128.9,120.6,,,,,,,,,
CSU00X00000033041,OREGON,ALL,LTIFR,132.4,147.8,142.3,152.4,135.0,,,,,,
CSU00X00000033042,PENNSYLVANIA,ALL,LTIFR,115.9,104.5,108.0,101.7,108.2,,,,,,
CSU00X00000033043,PUERTO RICO,ALL,LTIFR,371.2,317.7,310.6,299.3,270.7,,,,,,
CSU00X00000033045,SOUTH CAROLINA,ALL,LTIFR,105.4,91.4,92.0,87.8,87.8,,,,,,
CSU00X00000033047,TENNESSEE,ALL,LTIFR,99.6,99.0,94.9,88.9,88.1,,,,,,
CSU00X00000033048,TEXAS,ALL,LTIFR,85.8,75.8,71.9,66.3,63.3,,,,,,
CSU00X00000033049,UTAH,ALL,LTIFR,72.7,68.6,80.1,65.4,69.5,,,,,,
CSU00X00000033050,VERMONT,ALL,LTIFR,132.2,136.8,139.0,154.4,162.3,,,,,,
CSU00X00000033051,VIRGINIA,ALL,LTIFR,97.7,92.9,90.3,95.1,83.5,,,,,,
CSU00X00000033053,WASHINGTON,ALL,LTIFR,174.1,165.7,164.3,158.2,151.2,,,,,,
CSU00X00000033054,WEST VIRGINIA,ALL,LTIFR,162.9,162.5,145.9,153.2,121.8,,,,,,
CSU00X00000033055,WISCONSIN,ALL,LTIFR,113.4,113.3,110.2,118.5,100.7,,,,,,
CSU00X00000033056,WYOMING,ALL,LTIFR,132.5,136.0,129.7,132.4,128.0,,,,,,
CSUE1X00000033000,US,Violence and other injuries by persons or animals,LTIFR,7.3,7.2,7.1,6.8,6.8,,,,,,
CSUE1X00000033001,ALABAMA,Violence and other injuries by persons or animals,LTIFR,2.8,2.1,3.0,2.4,2.8,,,,,,
CSUE1X00000033002,ALASKA,Violence and other injuries by persons or animals,LTIFR,10.1,4.8,8.4,9.5,9.2,,,,,,
CSUE1X00000033004,ARIZONA,Violence and other injuries by persons or animals,LTIFR,4.1,6.5,5.6,5.3,4.3,,,,,,
CSUE1X00000033005,ARKANSAS,Violence and other injuries by persons or animals,LTIFR,4.1,5.2,3.9,4.2,3.8,,,,,,
CSUE1X00000033006,CALIFORNIA,Violence and other injuries by persons or animals,LTIFR,6.9,6.6,6.7,6.6,6.5,,,,,,
CSUE1X00000033009,CONNECTICUT,Violence and other injuries by persons or animals,LTIFR,11.2,10.6,12.4,10.1,8.2,,,,,,
CSUE1X00000033010,DELAWARE,Violence and other injuries by persons or animals,LTIFR,6.2,7.4,6.8,9.5,8.2,,,,,,
CSUE1X00000033011,DISTRICT OF COLUMBIA,Violence and other injuries by persons or animals,LTIFR,4.3,5.4,4.6,4.4,6.7,,,,,,
CSUE1X00000033013,GEORGIA,Violence and other injuries by persons or animals,LTIFR,2.8,4.3,5.6,3.7,4.0,,,,,,
CSUE1X00000033015,HAWAII,Violence and other injuries by persons or animals,LTIFR,5.8,8.9,8.2,6.5,9.6,,,,,,
CSUE1X00000033017,ILLINOIS,Violence and other injuries by persons or animals,LTIFR,7.3,6.2,6.4,5.0,5.0,,,,,,
CSUE1X00000033018,INDIANA,Violence and other injuries by persons or animals,LTIFR,3.6,2.6,3.0,4.3,3.0,,,,,,
CSUE1X00000033019,IOWA,Violence and other injuries by persons or animals,LTIFR,5.5,3.8,3.6,6.2,3.8,,,,,,
CSUE1X00000033020,KANSAS,Violence and other injuries by persons or animals,LTIFR,1.9,3.2,2.7,2.0,4.8,,,,,,
CSUE1X00000033021,KENTUCKY,Violence and other injuries by persons or animals,LTIFR,5.9,6.3,7.7,5.1,5.5,,,,,,
CSUE1X00000033022,LOUISIANA,Violence and other injuries by persons or animals,LTIFR,2.6,5.4,8.2,2.7,3.6,,,,,,
CSUE1X00000033023,MAINE,Violence and other injuries by persons or animals,LTIFR,6.8,7.7,7.8,5.1,8.0,,,,,,
CSUE1X00000033024,MARYLAND,Violence and other injuries by persons or animals,LTIFR,9.3,11.4,9.6,9.2,7.8,,,,,,
CSUE1X00000033025,MASSACHUSETTS,Violence and other injuries by persons or animals,LTIFR,10.1,10.4,9.3,10.5,11.4,,,,,,
CSUE1X00000033026,MICHIGAN,Violence and other injuries by persons or animals,LTIFR,5.7,5.4,6.0,11.4,4.6,,,,,,
CSUE1X00000033027,MINNESOTA,Violence and other injuries by persons or animals,LTIFR,4.0,5.5,5.6,4.9,5.2,,,,,,
CSUE1X00000033029,MISSOURI,Violence and other injuries by persons or animals,LTIFR,3.8,3.1,2.3,3.4,3.3,,,,,,
CSUE1X00000033030,MONTANA,Violence and other injuries by persons or animals,LTIFR,6.0,7.1,7.0,9.8,8.9,,,,,,
CSUE1X00000033031,NEBRASKA,Violence and other injuries by persons or animals,LTIFR,3.5,3.6,3.4,4.6,5.1,,,,,,
CSUE1X00000033032,NEVADA,Violence and other injuries by persons or animals,LTIFR,8.5,5.3,4.6,5.8,4.6,,,,,,
CSUE1X00000033034,NEW JERSEY,Violence and other injuries by persons or animals,LTIFR,10.0,11.3,13.7,10.9,10.0,,,,,,
CSUE1X00000033035,NEW MEXICO,Violence and other injuries by persons or animals,LTIFR,10.7,6.5,6.6,9.3,7.3,,,,,,
CSUE1X00000033036,NEW YORK,Violence and other injuries by persons or animals,LTIFR,18.3,19.8,19.4,19.1,16.8,,,,,,
CSUE1X00000033037,NORTH CAROLINA,Violence and other injuries by persons or animals,LTIFR,6.4,6.4,5.5,4.5,5.3,,,,,,
CSUE1X00000033039,OHIO,Violence and other injuries by persons or animals,LTIFR,,4.1,4.4,4.7,5.9,,,,,,
CSUE1X00000033040,OKLAHOMA,Violence and other injuries by persons or animals,LTIFR,5.2,5.9,,,,,,,,,
CSUE1X00000033041,OREGON,Violence and other injuries by persons or animals,LTIFR,7.0,7.7,7.3,8.4,7.2,,,,,,
CSUE1X00000033042,PENNSYLVANIA,Violence and other injuries by persons or animals,LTIFR,4.6,5.6,5.2,3.8,4.6,,,,,,
CSUE1X00000033043,PUERTO RICO,Violence and other injuries by persons or animals,LTIFR,3.8,7.5,8.0,7.1,5.8,,,,,,
CSUE1X00000033045,SOUTH CAROLINA,Violence and other injuries by persons or animals,LTIFR,6.6,4.5,6.0,6.2,7.6,,,,,,
CSUE1X00000033047,TENNESSEE,Violence and other injuries by persons or animals,LTIFR,5.6,5.6,5.4,5.7,5.9,,,,,,
CSUE1X00000033048,TEXAS,Violence and other injuries by persons or animals,LTIFR,5.1,5.2,3.4,3.6,4.3,,,,,,
CSUE1X00000033049,UTAH,Violence and other injuries by persons or animals,LTIFR,2.4,1.5,2.7,2.9,2.6,,,,,,
CSUE1X00000033050,VERMONT,Violence and other injuries by persons or animals,LTIFR,6.6,6.4,5.3,6.5,10.0,,,,,,
CSUE1X00000033051,VIRGINIA,Violence and other injuries by persons or animals,LTIFR,4.9,4.7,4.3,5.8,4.5,,,,,,
